anio,X,Y,generico_denuncia,especifico_denuncia,modalidad_denuncia,geometry,distrito
2023,-77.02027361,-12.17611046,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.02027361 -12.17611046),CHORRILLOS
2023,-77.04634777,-11.94518936,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.04634777 -11.94518936),COMAS
2023,-77.04448822,-11.86051097,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.04448822 -11.86051097),CARABAYLLO
2023,-76.97834007,-12.05158783,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-76.97834007 -12.05158783),SANTA ANITA
2023,-77.07503609,-11.96349688,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.07503609 -11.96349688),LOS OLIVOS
2023,-77.04312047,-12.0454897,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.04312047 -12.0454897),LIMA
2023,-77.0593684,-12.006493,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.0593684 -12.006493),INDEPENDENCIA
2023,-76.90117234,-11.99201929,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-76.90117234 -11.99201929),LURIGANCHO
2023,-77.06295054,-12.09976171,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.06295054 -12.09976171),MAGDALENA DEL MAR
2023,-76.93030893,-12.22398006,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-76.93030893 -12.22398006),VILLA EL SALVADOR
2023,-77.04514679,-12.05423599,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.04514679 -12.05423599),BREÑA
2023,-77.06006141,-11.9424559,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.06006141 -11.9424559),COMAS
2023,-77.06692508,-12.04987622,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.06692508 -12.04987622),LIMA
2023,-77.0552155,-12.05248114,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.0552155 -12.05248114),BREÑA
2023,-77.03441729,-12.05018105,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.03441729 -12.05018105),LIMA
2023,-77.02328721,-12.15826305,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.02328721 -12.15826305),CHORRILLOS
2023,-77.11812267,-11.8295964,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.11812267 -11.8295964),PUENTE PIEDRA
2023,-76.94175302,-12.22783309,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-76.94175302 -12.22783309),VILLA EL SALVADOR
2023,-77.01521783,-11.87782597,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.01521783 -11.87782597),CARABAYLLO
2023,-77.0824291,-11.9362344,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.0824291 -11.9362344),LOS OLIVOS
2023,-77.004493,-11.937932,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.004493 -11.937932),SAN JUAN DE LURIGANCHO
2023,-77.03080099,-12.11584938,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.03080099 -12.11584938),MIRAFLORES
2023,-77.05676962,-11.95108946,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.05676962 -11.95108946),COMAS
2023,-76.911943,-12.23748968,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-76.911943 -12.23748968),LURIN
2023,-77.01030945,-12.2060696,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.01030945 -12.2060696),CHORRILLOS
2023,-77.0207578,-12.0876219,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.0207578 -12.0876219),LA VICTORIA
