anio,X,Y,generico_denuncia,especifico_denuncia,modalidad_denuncia,geometry,distrito
2018,-77.0485059,-12.0423553,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0485059 -12.0423553),LIMA
2018,-77.01415167,-12.05049754,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.01415167 -12.05049754),LIMA
2018,-77.01893156,-12.05642084,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.01893156 -12.05642084),LIMA
2018,-77.0599375,-12.0449939,DELITOS CONTRA EL PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,POINT (-77.0599375 -12.0449939),LIMA
2018,-77.0599375,-12.0449939,DELITOS CONTRA EL PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,POINT (-77.0599375 -12.0449939),LIMA
2018,-77.0599375,-12.0449939,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO A MANO ARMADA,POINT (-77.0599375 -12.0449939),LIMA
2018,-77.0485059,-12.0423553,,,,POINT (-77.0485059 -12.0423553),LIMA
2018,-77.0427588,-12.0463503,,,,POINT (-77.0427588 -12.0463503),LIMA
2018,-77.03804155,-12.04726753,,,,POINT (-77.03804155 -12.04726753),LIMA
2018,-77.04165843,-12.05797947,,,,POINT (-77.04165843 -12.05797947),LIMA
2018,-77.03948458,-12.05587262,,,,POINT (-77.03948458 -12.05587262),LIMA
2018,-77.03765309,-12.05278765,,,,POINT (-77.03765309 -12.05278765),LIMA
2018,-77.03809062,-12.05819419,,,,POINT (-77.03809062 -12.05819419),LIMA
2018,-77.04151395,-12.05878271,,,,POINT (-77.04151395 -12.05878271),LIMA
2018,-77.03989383,-12.05118066,,,,POINT (-77.03989383 -12.05118066),LIMA
2018,-77.04224808,-12.05092868,,,,POINT (-77.04224808 -12.05092868),LIMA
2018,-77.04161363,-12.05866848,,,,POINT (-77.04161363 -12.05866848),LIMA
2018,-77.04091979,-12.05174108,DELITOS CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,ESTAFA,POINT (-77.04091979 -12.05174108),LIMA
2018,-77.07298937,-12.04836627,DELITOS CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,ESTAFA,POINT (-77.07298937 -12.04836627),LIMA
2018,-77.0415861,-12.0537682,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0415861 -12.0537682),LIMA
2018,-77.04279279,-12.04847913,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04279279 -12.04847913),LIMA
2018,-77.04088833,-12.05184082,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04088833 -12.05184082),LIMA
2018,-77.04229267,-12.05100385,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04229267 -12.05100385),LIMA
2018,-77.03796524,-12.05771775,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03796524 -12.05771775),LIMA
2018,-77.0356606,-12.04951448,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0356606 -12.04951448),LIMA
2018,-77.04341254,-12.04084842,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04341254 -12.04084842),LIMA
2018,-77.03835933,-12.05094227,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03835933 -12.05094227),LIMA
2018,-77.03660111,-12.0566185,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03660111 -12.0566185),LIMA
2018,-77.03951415,-12.04855414,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03951415 -12.04855414),LIMA
2018,-77.0391167,-12.0488032,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0391167 -12.0488032),LIMA
2018,-77.03640018,-12.05101046,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03640018 -12.05101046),LIMA
2018,-77.0430436,-12.0478782,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0430436 -12.0478782),LIMA
2018,-77.03832096,-12.05115564,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03832096 -12.05115564),LIMA
2018,-77.0397932,-12.05424423,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0397932 -12.05424423),LIMA
2018,-77.03553732,-12.05157952,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03553732 -12.05157952),LIMA
2018,-77.03413943,-12.04997255,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03413943 -12.04997255),LIMA
2018,-77.03906471,-12.04843462,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03906471 -12.04843462),LIMA
2018,-77.04386364,-12.03958994,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04386364 -12.03958994),LIMA
2018,-77.04186652,-12.05441604,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04186652 -12.05441604),LIMA
2018,-77.0429187,-12.0498151,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0429187 -12.0498151),LIMA
2018,-77.04280275,-12.04899822,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04280275 -12.04899822),LIMA
2018,-77.04013749,-12.05607626,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04013749 -12.05607626),LIMA
2018,-77.0430436,-12.0478782,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0430436 -12.0478782),LIMA
2018,-77.03938701,-12.04848852,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03938701 -12.04848852),LIMA
2018,-77.0342618,-12.04842546,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0342618 -12.04842546),LIMA
2018,-77.03799786,-12.05763313,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03799786 -12.05763313),LIMA
2018,-77.04033141,-12.06080415,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04033141 -12.06080415),LIMA
2018,-77.04224604,-12.05106961,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04224604 -12.05106961),LIMA
2018,-77.03950197,-12.05611786,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03950197 -12.05611786),LIMA
2018,-77.03817088,-12.05705778,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03817088 -12.05705778),LIMA
2018,-77.03669949,-12.05140135,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03669949 -12.05140135),LIMA
2018,-77.04150036,-12.04713911,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04150036 -12.04713911),LIMA
2018,-77.04250445,-12.04777798,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04250445 -12.04777798),LIMA
2018,-77.04167201,-12.05449613,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.04167201 -12.05449613),LIMA
2018,-77.03672358,-12.04827509,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.03672358 -12.04827509),LIMA
2018,-77.03671444,-12.04823553,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.03671444 -12.04823553),LIMA
2018,-77.04154737,-12.05848549,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.04154737 -12.05848549),LIMA
2018,-77.03931888,-12.04854275,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.03931888 -12.04854275),LIMA
2018,-77.03539113,-12.05150782,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.03539113 -12.05150782),LIMA
2018,-77.03387854,-12.04749785,,,,POINT (-77.03387854 -12.04749785),LIMA
2018,-77.03387854,-12.04749785,,,,POINT (-77.03387854 -12.04749785),LIMA
2018,-77.04202815,-12.05084805,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.04202815 -12.05084805),LIMA
2018,-77.03517538,-12.04799353,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.03517538 -12.04799353),LIMA
2018,-77.03944858,-12.0484619,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.03944858 -12.0484619),LIMA
2018,-77.03788036,-12.05588453,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.03788036 -12.05588453),LIMA
2018,-77.04163174,-12.059519,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.04163174 -12.059519),BREÑA
2018,-77.04083872,-12.04777986,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.04083872 -12.04777986),LIMA
2018,-77.03614845,-12.04854184,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.03614845 -12.04854184),LIMA
2018,-77.03745917,-12.05259434,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO A MANO ARMADA,POINT (-77.03745917 -12.05259434),LIMA
2018,-77.04159135,-12.05876435,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO DURANTE LA NOCHE O EN LUGAR DESOLADO,POINT (-77.04159135 -12.05876435),LIMA
2018,-77.04032264,-12.05159074,,,,POINT (-77.04032264 -12.05159074),LIMA
2018,-77.03656905,-12.05673191,,,,POINT (-77.03656905 -12.05673191),LIMA
2018,-77.04049711,-12.05164735,,,,POINT (-77.04049711 -12.05164735),LIMA
2018,-77.04280275,-12.04899822,,,,POINT (-77.04280275 -12.04899822),LIMA
2018,-77.04280275,-12.04899822,,,,POINT (-77.04280275 -12.04899822),LIMA
2018,-77.029726,-12.0592242,,,,POINT (-77.029726 -12.0592242),LA VICTORIA
2018,-77.03689326,-12.05015774,,,,POINT (-77.03689326 -12.05015774),LIMA
2018,-77.03730192,-12.05793294,,,,POINT (-77.03730192 -12.05793294),LIMA
2018,-77.04018447,-12.05820473,,,,POINT (-77.04018447 -12.05820473),LIMA
2018,-77.0108544,-12.05732073,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0108544 -12.05732073),LIMA
2018,-77.02746147,-12.05117309,,,,POINT (-77.02746147 -12.05117309),LIMA
2018,-77.0280775,-12.0505561,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0280775 -12.0505561),LIMA
2018,-77.07722716,-12.02969469,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.07722716 -12.02969469),SAN MARTIN DE PORRES
2018,-77.07748066,-12.03680303,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.07748066 -12.03680303),LIMA
2018,-77.02613697,-12.05151588,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.02613697 -12.05151588),LIMA
2018,-77.07707891,-12.02974422,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.07707891 -12.02974422),SAN MARTIN DE PORRES
2018,-77.0771234,-12.02972354,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0771234 -12.02972354),SAN MARTIN DE PORRES
2018,-77.074143,-12.0363108,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.074143 -12.0363108),LIMA
2018,-77.074143,-12.0363108,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.074143 -12.0363108),LIMA
2018,-77.03718487,-12.04797846,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.03718487 -12.04797846),LIMA
2018,-77.02613697,-12.05151588,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.02613697 -12.05151588),LIMA
2018,-77.02613697,-12.05151588,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.02613697 -12.05151588),LIMA
2018,-77.074143,-12.0363108,DELITOS CONTRA EL PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,POINT (-77.074143 -12.0363108),LIMA
2018,-77.0159519,-12.05514118,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.0159519 -12.05514118),LIMA
2018,-77.0317367,-12.0527524,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.0317367 -12.0527524),LIMA
2018,-77.07753843,-11.97780278,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.07753843 -11.97780278),LOS OLIVOS
2018,-77.06581284,-12.03543478,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.06581284 -12.03543478),LIMA
2018,-77.07755511,-11.97764619,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.07755511 -11.97764619),LOS OLIVOS
2018,-77.05159491,-12.03809996,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.05159491 -12.03809996),LIMA
2018,-77.05159491,-12.03809996,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.05159491 -12.03809996),LIMA
2018,-77.0159519,-12.05514118,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.0159519 -12.05514118),LIMA
2018,-77.074143,-12.0363108,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.074143 -12.0363108),LIMA
2018,-77.01972561,-12.04882741,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.01972561 -12.04882741),LIMA
2018,-77.074143,-12.0363108,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.074143 -12.0363108),LIMA
2018,-77.01972561,-12.04882741,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.01972561 -12.04882741),LIMA
2018,-77.074143,-12.0363108,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.074143 -12.0363108),LIMA
2018,-77.045052,-12.040781,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.045052 -12.040781),LIMA
2018,-77.045052,-12.040781,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.045052 -12.040781),LIMA
2018,-77.074143,-12.0363108,,,,POINT (-77.074143 -12.0363108),LIMA
2018,-77.07751048,-11.97767238,,,,POINT (-77.07751048 -11.97767238),LOS OLIVOS
2018,-77.0159519,-12.05514118,,,,POINT (-77.0159519 -12.05514118),LIMA
2018,-77.01752429,-12.04696184,,,,POINT (-77.01752429 -12.04696184),LIMA
2018,-77.01752593,-12.04687185,,,,POINT (-77.01752593 -12.04687185),LIMA
2018,-77.01758195,-12.04699124,,,,POINT (-77.01758195 -12.04699124),LIMA
2018,-77.074143,-12.0363108,,,,POINT (-77.074143 -12.0363108),LIMA
2018,-77.0159519,-12.05514118,,,,POINT (-77.0159519 -12.05514118),LIMA
2018,-77.028577,-12.0576039,,,,POINT (-77.028577 -12.0576039),LIMA
2018,-77.059532,-12.06245031,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO A MANO ARMADA,POINT (-77.059532 -12.06245031),LIMA
2018,-77.041514,-12.0603072,,,,POINT (-77.041514 -12.0603072),LIMA
2018,-77.041514,-12.0603072,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.041514 -12.0603072),LIMA
2018,-77.041514,-12.0603072,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.041514 -12.0603072),LIMA
2018,-77.041514,-12.0603072,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.041514 -12.0603072),LIMA
2018,-77.041514,-12.0603072,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.041514 -12.0603072),LIMA
2018,-77.041514,-12.0603072,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.041514 -12.0603072),LIMA
2018,-77.041514,-12.0603072,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.041514 -12.0603072),LIMA
2018,-77.041514,-12.0603072,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.041514 -12.0603072),LIMA
2018,-77.041514,-12.0603072,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.041514 -12.0603072),LIMA
2018,-77.041514,-12.0603072,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.041514 -12.0603072),LIMA
2018,-77.041514,-12.0603072,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.041514 -12.0603072),LIMA
