anio,X,Y,generico_denuncia,especifico_denuncia,modalidad_denuncia,geometry,distrito
2022,-77.04038987,-12.05618569,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.04038987 -12.05618569),LIMA
2022,-76.9731979,-12.16217308,,,,POINT (-76.9731979 -12.16217308),SAN JUAN DE MIRAFLORES
2022,-76.9635612,-12.188086,,,,POINT (-76.9635612 -12.188086),SAN JUAN DE MIRAFLORES
2022,-77.03357734,-12.03935527,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.03357734 -12.03935527),RIMAC
2022,-76.93942178,-12.17731075,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.93942178 -12.17731075),VILLA MARIA DEL TRIUNFO
2022,-77.0675014,-12.05784649,,,,POINT (-77.0675014 -12.05784649),LIMA
2022,-77.07070842,-11.97948203,,,,POINT (-77.07070842 -11.97948203),LOS OLIVOS
2022,-76.69040973,-11.92955064,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-76.69040973 -11.92955064),LURIGANCHO
2022,-77.03035329,-12.03941483,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.03035329 -12.03941483),RIMAC
2022,-76.93984645,-12.18444683,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.93984645 -12.18444683),VILLA MARIA DEL TRIUNFO
2022,-77.06435638,-12.0594234,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.06435638 -12.0594234),LIMA
2022,-77.07732753,-12.03796443,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.07732753 -12.03796443),LIMA
2022,-77.02941647,-12.04253065,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.02941647 -12.04253065),RIMAC
2022,-77.03268052,-12.03859775,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03268052 -12.03859775),RIMAC
2022,-76.93637312,-12.17341082,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.93637312 -12.17341082),VILLA MARIA DEL TRIUNFO
2022,-77.08830092,-11.99769046,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.08830092 -11.99769046),SAN MARTIN DE PORRES
2022,-77.06239021,-12.06908795,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.06239021 -12.06908795),PUEBLO LIBRE
2022,-76.87393457,-12.2654027,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.87393457 -12.2654027),LURIN
