anio,X,Y,generico_denuncia,especifico_denuncia,modalidad_denuncia,geometry,distrito
2019,-77.03079401,-11.95387771,,,,POINT (-77.03079401 -11.95387771),COMAS
2019,-76.99898856,-12.06196776,,,,POINT (-76.99898856 -12.06196776),SAN LUIS
2019,-76.869954,-12.277161,,,,POINT (-76.869954 -12.277161),LURIN
2019,-76.859473,-12.226675,,,,POINT (-76.859473 -12.226675),PACHACAMAC
2019,-76.90849096,-12.23908254,DELITOS CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,ESTAFA,POINT (-76.90849096 -12.23908254),LURIN
2019,-76.82588226,-12.33775023,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-76.82588226 -12.33775023),PUNTA HERMOSA
2019,-76.79615273,-12.48240324,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-76.79615273 -12.48240324),PUCUSANA
2019,-76.870452,-12.2729515,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-76.870452 -12.2729515),LURIN
2019,-76.870281,-12.286711,,,,POINT (-76.870281 -12.286711),LURIN
2019,-76.86522166,-12.21899747,,,,POINT (-76.86522166 -12.21899747),PACHACAMAC
2019,-76.87393457,-12.2654027,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-76.87393457 -12.2654027),LURIN
2019,-76.86979516,-12.29046298,,,,POINT (-76.86979516 -12.29046298),LURIN
2019,-76.8706096,-12.27498362,,,,POINT (-76.8706096 -12.27498362),LURIN
2019,-77.0750763,-12.05508059,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.0750763 -12.05508059),LIMA
2019,-77.02861312,-12.05360326,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.02861312 -12.05360326),LIMA
2019,-76.99795271,-12.06298318,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-76.99795271 -12.06298318),ATE
2019,-77.02075396,-12.06096189,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.02075396 -12.06096189),LA VICTORIA
2019,-77.02563464,-12.05336383,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.02563464 -12.05336383),LIMA
2019,-77.0662639,-12.0369345,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.0662639 -12.0369345),LIMA
2019,-77.03077555,-12.07416918,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.03077555 -12.07416918),LIMA
2019,-77.06415498,-12.05167527,,,,POINT (-77.06415498 -12.05167527),LIMA
2019,-77.02151043,-12.17028827,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.02151043 -12.17028827),CHORRILLOS
2019,-77.04725313,-12.04158648,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.04725313 -12.04158648),LIMA
2019,-77.01339677,-12.07326618,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.01339677 -12.07326618),LA VICTORIA
2019,-77.0197811,-12.04546602,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.0197811 -12.04546602),LIMA
2019,-77.01972898,-12.04757134,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.01972898 -12.04757134),LIMA
2019,-77.013509,-12.04382739,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.013509 -12.04382739),LIMA
2019,-77.0428302,-12.06201979,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.0428302 -12.06201979),LIMA
2019,-77.0328781,-12.0787856,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.0328781 -12.0787856),LIMA
2019,-77.07695469,-12.05759634,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.07695469 -12.05759634),LIMA
2019,-76.99175134,-12.03790871,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.99175134 -12.03790871),EL AGUSTINO
2019,-76.99534991,-12.03548178,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.99534991 -12.03548178),EL AGUSTINO
2019,-77.0531765,-12.06583893,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.0531765 -12.06583893),BREÑA
2019,-77.02056435,-12.05622815,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.02056435 -12.05622815),LIMA
2019,-77.0390656,-12.0478575,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.0390656 -12.0478575),LIMA
2019,-77.04897699,-12.04057935,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.04897699 -12.04057935),LIMA
2019,-77.02447734,-12.05502925,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.02447734 -12.05502925),LIMA
2019,-77.07106919,-12.06379029,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.07106919 -12.06379029),LIMA
2019,-77.02520532,-12.04678642,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.02520532 -12.04678642),LIMA
2019,-77.0040566,-12.1199076,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.0040566 -12.1199076),SURQUILLO
2019,-76.82502788,-12.00815371,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.82502788 -12.00815371),ATE
2019,-77.07237239,-12.06768818,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.07237239 -12.06768818),LIMA
2019,-77.01207775,-12.04929656,,,,POINT (-77.01207775 -12.04929656),LIMA
2019,-77.03042516,-12.05670034,DELITOS CONTRA EL PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,POINT (-77.03042516 -12.05670034),LIMA
2019,-77.07123096,-12.06580399,DELITOS CONTRA EL PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,POINT (-77.07123096 -12.06580399),LIMA
2019,-77.04725923,-11.97759265,DELITOS CONTRA EL PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,POINT (-77.04725923 -11.97759265),INDEPENDENCIA
2019,-76.996844,-12.0738451,DELITOS CONTRA EL PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,POINT (-76.996844 -12.0738451),SAN LUIS
2019,-77.01098585,-12.07167114,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.01098585 -12.07167114),LA VICTORIA
2019,-77.03923757,-12.0428486,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.03923757 -12.0428486),LIMA
2019,-76.99307521,-12.03972321,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-76.99307521 -12.03972321),EL AGUSTINO
2019,-77.01698307,-11.91144851,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.01698307 -11.91144851),COMAS
2019,-77.07285304,-11.98588812,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.07285304 -11.98588812),LOS OLIVOS
2019,-77.06633516,-11.96826854,,,,POINT (-77.06633516 -11.96826854),LOS OLIVOS
2019,-77.05696991,-11.9283635,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.05696991 -11.9283635),COMAS
2019,-77.05432637,-11.96671624,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.05432637 -11.96671624),COMAS
2019,-77.08159968,-11.97935038,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.08159968 -11.97935038),LOS OLIVOS
2019,-77.0735385,-11.9554986,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.0735385 -11.9554986),LOS OLIVOS
2019,-77.06728837,-11.92944741,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.06728837 -11.92944741),COMAS
2019,-77.06815814,-11.95993174,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.06815814 -11.95993174),LOS OLIVOS
2019,-77.07245405,-12.01115814,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.07245405 -12.01115814),LOS OLIVOS
2019,-77.06425466,-11.99227214,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.06425466 -11.99227214),LOS OLIVOS
2019,-77.07061505,-11.96278801,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.07061505 -11.96278801),LOS OLIVOS
2019,-77.07596114,-11.95413301,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.07596114 -11.95413301),LOS OLIVOS
2019,-77.0767389,-12.029392,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.0767389 -12.029392),SAN MARTIN DE PORRES
2019,-77.097009,-11.9814632,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.097009 -11.9814632),SAN MARTIN DE PORRES
2019,-77.0932285,-12.03496163,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.0932285 -12.03496163),SAN MARTIN DE PORRES
2019,-77.08287085,-11.97435406,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.08287085 -11.97435406),LOS OLIVOS
2019,-77.0928188,-11.9636439,DELITOS CONTRA EL PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,POINT (-77.0928188 -11.9636439),SAN MARTIN DE PORRES
2019,-77.06142871,-11.93864704,DELITOS CONTRA EL PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,POINT (-77.06142871 -11.93864704),COMAS
2019,-77.0483725,-11.9365006,DELITOS CONTRA EL PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,POINT (-77.0483725 -11.9365006),COMAS
2019,-77.04118764,-11.90748892,DELITOS CONTRA EL PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,POINT (-77.04118764 -11.90748892),COMAS
2019,-77.0461819,-11.92209182,DELITOS CONTRA EL PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,POINT (-77.0461819 -11.92209182),COMAS
2019,-77.02402783,-12.1623475,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.02402783 -12.1623475),CHORRILLOS
2019,-77.001559,-12.1746179,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-77.001559 -12.1746179),CHORRILLOS
