anio,X,Y,generico_denuncia,especifico_denuncia,modalidad_denuncia,geometry,distrito
2017,-76.9600837,-12.1635392,,,,POINT (-76.9600837 -12.1635392),SAN JUAN DE MIRAFLORES
2017,-76.97939378,-12.16152138,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.97939378 -12.16152138),SAN JUAN DE MIRAFLORES
2017,-76.97332053,-12.15803584,,,,POINT (-76.97332053 -12.15803584),SAN JUAN DE MIRAFLORES
2017,-76.97297294,-12.15651644,,,,POINT (-76.97297294 -12.15651644),SAN JUAN DE MIRAFLORES
2017,-76.96525311,-12.16294074,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.96525311 -12.16294074),SAN JUAN DE MIRAFLORES
2017,-76.97834049,-12.16690156,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.97834049 -12.16690156),SAN JUAN DE MIRAFLORES
2017,-76.96135155,-12.16825779,,,,POINT (-76.96135155 -12.16825779),SAN JUAN DE MIRAFLORES
2017,-76.96153252,-12.17022341,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO DURANTE LA NOCHE O EN LUGAR DESOLADO,POINT (-76.96153252 -12.17022341),SAN JUAN DE MIRAFLORES
2017,-76.93691648,-12.21331906,,,,POINT (-76.93691648 -12.21331906),VILLA EL SALVADOR
2017,-76.93694284,-12.21295154,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO A MANO ARMADA,POINT (-76.93694284 -12.21295154),VILLA EL SALVADOR
2017,-76.95782858,-12.22448172,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-76.95782858 -12.22448172),VILLA EL SALVADOR
2017,-76.94129644,-12.20568775,,,,POINT (-76.94129644 -12.20568775),VILLA EL SALVADOR
2017,-76.94322042,-12.21379616,,,,POINT (-76.94322042 -12.21379616),VILLA EL SALVADOR
2017,-76.93264236,-12.21469923,,,,POINT (-76.93264236 -12.21469923),VILLA EL SALVADOR
2017,-76.94536146,-12.20793938,,,,POINT (-76.94536146 -12.20793938),VILLA EL SALVADOR
2017,-76.93375065,-12.2080774,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.93375065 -12.2080774),VILLA EL SALVADOR
2017,-76.94626965,-12.20829872,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.94626965 -12.20829872),VILLA EL SALVADOR
2017,-76.9483185,-12.1923846,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.9483185 -12.1923846),VILLA EL SALVADOR
2017,-76.93542047,-12.21579176,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO A MANO ARMADA,POINT (-76.93542047 -12.21579176),VILLA EL SALVADOR
2017,-76.94142205,-12.21651872,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-76.94142205 -12.21651872),VILLA EL SALVADOR
2017,-76.94614573,-12.20839769,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.94614573 -12.20839769),VILLA EL SALVADOR
2017,-76.93535033,-12.21568366,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.93535033 -12.21568366),VILLA EL SALVADOR
2017,-76.95539833,-12.13048778,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO A MANO ARMADA,POINT (-76.95539833 -12.13048778),SAN JUAN DE MIRAFLORES
2017,-76.97794991,-12.15376775,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.97794991 -12.15376775),SAN JUAN DE MIRAFLORES
2017,-76.9820963,-12.1525451,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.9820963 -12.1525451),SAN JUAN DE MIRAFLORES
2017,-76.97179982,-12.15388607,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-76.97179982 -12.15388607),SAN JUAN DE MIRAFLORES
2017,-76.96650417,-12.16260473,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.96650417 -12.16260473),SAN JUAN DE MIRAFLORES
2017,-76.97184,-12.1539191,DELITOS CONTRA LA SEGURIDAD PÚBLICA,SALUD PUBLICA,MICROCOMERCIALIZACION DE DROGAS,POINT (-76.97184 -12.1539191),SAN JUAN DE MIRAFLORES
2017,-76.97716563,-12.16427297,,,,POINT (-76.97716563 -12.16427297),SAN JUAN DE MIRAFLORES
2017,-76.97283281,-12.15846258,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.97283281 -12.15846258),SAN JUAN DE MIRAFLORES
2017,-76.96892953,-12.1553758,,,,POINT (-76.96892953 -12.1553758),SAN JUAN DE MIRAFLORES
