anio,X,Y,generico_denuncia,especifico_denuncia,modalidad_denuncia,geometry,distrito
2020,-77.04724725,-11.95433475,,,,POINT (-77.04724725 -11.95433475),COMAS
2020,-77.04611314,-11.94066561,,,,POINT (-77.04611314 -11.94066561),COMAS
2020,-77.05609677,-11.9720676,,,,POINT (-77.05609677 -11.9720676),COMAS
2020,-77.01887808,-11.90949193,,,,POINT (-77.01887808 -11.90949193),COMAS
2020,-77.05018618,-11.95960873,,,,POINT (-77.05018618 -11.95960873),COMAS
2020,-77.05139805,-11.95490401,,,,POINT (-77.05139805 -11.95490401),COMAS
2020,-77.0670596,-11.9391742,,,,POINT (-77.0670596 -11.9391742),COMAS
2020,-77.01771005,-11.91345188,,,,POINT (-77.01771005 -11.91345188),COMAS
2020,-77.02786594,-11.91624334,,,,POINT (-77.02786594 -11.91624334),COMAS
2020,-77.06183075,-11.95323345,,,,POINT (-77.06183075 -11.95323345),COMAS
2020,-77.04646254,-11.9477247,,,,POINT (-77.04646254 -11.9477247),COMAS
2020,-77.0374364,-11.902905,,,,POINT (-77.0374364 -11.902905),COMAS
2020,-77.03164093,-11.91519541,,,,POINT (-77.03164093 -11.91519541),COMAS
2020,-77.05914731,-12.06231206,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.05914731 -12.06231206),BREÑA
2020,-77.07305884,-12.04812634,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.07305884 -12.04812634),LIMA
2020,-77.10016419,-12.08230048,,,,POINT (-77.10016419 -12.08230048),SAN MIGUEL
2020,-77.07181439,-11.94213695,,,,POINT (-77.07181439 -11.94213695),LOS OLIVOS
2020,-77.03566047,-11.95844792,,,,POINT (-77.03566047 -11.95844792),COMAS
2020,-77.03991783,-11.95605407,,,,POINT (-77.03991783 -11.95605407),COMAS
2020,-77.05450597,-11.95169842,,,,POINT (-77.05450597 -11.95169842),COMAS
2020,-77.04213261,-11.90328635,,,,POINT (-77.04213261 -11.90328635),COMAS
2020,-77.04539123,-11.96057219,,,,POINT (-77.04539123 -11.96057219),COMAS
2020,-77.06407569,-11.95427435,,,,POINT (-77.06407569 -11.95427435),COMAS
2020,-77.03950919,-11.91711246,,,,POINT (-77.03950919 -11.91711246),COMAS
2020,-77.05899645,-11.97637025,,,,POINT (-77.05899645 -11.97637025),COMAS
2020,-77.05175789,-11.93993829,,,,POINT (-77.05175789 -11.93993829),COMAS
2020,-76.97722633,-12.15296401,,,,POINT (-76.97722633 -12.15296401),SAN JUAN DE MIRAFLORES
2020,-77.011574,-11.96520858,,,,POINT (-77.011574 -11.96520858),SAN JUAN DE LURIGANCHO
2020,-77.00847878,-12.0237148,,,,POINT (-77.00847878 -12.0237148),SAN JUAN DE LURIGANCHO
